brand,model,year,km,transmission,drivetrain,body,price,car_age,km_per_year
Toyota,RAV4,2023,38628.0,Автомат,Задний,Хэтчбек,2713113,3,12876
Hyundai,Santa Fe,2022,43716.0,Механика,Передний,Седан,1356387,4,10929
Kia,Ceed,2020,98730.0,Автомат,Передний,Седан,819019,6,16455
Volkswagen,Tiguan,2008,178918.0,Автомат,Полный,Хэтчбек,258206,18,9940
BMW,X3,2015,158775.0,Автомат,Полный,Хэтчбек,605445,11,14434
Hyundai,Solaris,2024,24084.0,Автомат,Передний,Седан,1448690,2,12042
Hyundai,ix35,2017,165969.0,Механика,Передний,Седан,291989,9,18441
Toyota,Camry,2023,39590.0,Робот,Полный,Кроссовер,2402825,3,13197
Volkswagen,Passat,2013,303485.0,Механика,Полный,Седан,291630,13,23345
Hyundai,ix35,2008,333188.0,Автомат,Передний,Кроссовер,318325,18,18510
Volkswagen,Passat,2009,253761.5,Автомат,Передний,Хэтчбек,255818,17,14927
BMW,3 Series,2024,4401.0,Автомат,Передний,Хэтчбек,2546278,2,2200
Kia,Ceed,2022,46572.0,Автомат,Полный,Кроссовер,1275608,4,11643
Hyundai,ix35,2010,327944.0,Автомат,Передний,Хэтчбек,267195,16,20496
BMW,X5,2013,180386.0,Автомат,Передний,Кроссовер,420498,13,13876
Toyota,Corolla,2022,32865.0,Механика,Полный,Кроссовер,2368631,4,8216
Hyundai,ix35,2015,220081.0,Автомат,Полный,Кроссовер,255391,11,20007
Toyota,Camry,2008,206980.0,Робот,Полный,Седан,299515,18,11499
Toyota,RAV4,2010,159203.0,Автомат,Передний,Седан,333852,16,9950
Kia,Ceed,2024,34799.0,Автомат,Передний,Хэтчбек,1743674,2,17400
Volkswagen,Polo,2018,110102.0,Механика,Задний,Кроссовер,663960,8,13763
Toyota,Corolla,2021,121857.0,Механика,Передний,Седан,1748562,5,24371
BMW,X3,2021,77895.0,Механика,Полный,Седан,1830554,5,15579
Toyota,Land Cruiser,2012,235681.0,Механика,Передний,Седан,337006,14,16834
Volkswagen,Tiguan,2023,55898.0,Механика,Передний,Кроссовер,1569776,3,18633
Volkswagen,Golf,2017,120599.0,Автомат,Передний,Седан,499706,9,13400
Volkswagen,Golf,2021,63639.0,Механика,Передний,Кроссовер,1261686,5,12728
BMW,X3,2010,237882.0,Автомат,Передний,Кроссовер,288709,16,14868
Volkswagen,Golf,2016,193366.0,Робот,Полный,Хэтчбек,337044,10,19337
Hyundai,Santa Fe,2020,119674.0,Робот,Передний,Кроссовер,903304,6,19946
Hyundai,Santa Fe,2008,237669.0,Автомат,Задний,Кроссовер,283261,18,13204
Volkswagen,Passat,2015,118062.0,Автомат,Передний,Кроссовер,300245,11,10733
Hyundai,Solaris,2024,31889.0,Автомат,Передний,Хэтчбек,1840637,2,15944
Kia,Sportage,2013,245040.0,Механика,Передний,Седан,312599,13,18849
BMW,5 Series,2013,175891.0,Автомат,Полный,Хэтчбек,472562,13,13530
BMW,3 Series,2017,33655.0,Автомат,Полный,Кроссовер,1234497,9,3739
Hyundai,Tucson,2019,99316.0,Робот,Задний,Хэтчбек,714835,7,14188
BMW,3 Series,2020,86459.0,Механика,Передний,Седан,1501695,6,14410
Volkswagen,Polo,2013,167862.0,Автомат,Передний,Кроссовер,256180,13,12912
Kia,Rio,2019,147747.0,Механика,Передний,Седан,612757,7,21107
Hyundai,Solaris,2020,78684.0,Автомат,Передний,Кроссовер,1049999,6,13114
BMW,5 Series,2013,221697.0,Механика,Передний,Кроссовер,333944,13,17054
Toyota,Land Cruiser,2022,68875.0,Автомат,Передний,Кроссовер,1877750,4,17219
Toyota,Land Cruiser,2014,175076.0,Автомат,Полный,Хэтчбек,527460,12,14590
Volkswagen,Polo,2020,64284.0,Автомат,Задний,Седан,1096778,6,10714
BMW,X5,2013,232708.0,Механика,Полный,Кроссовер,274309,13,17901
Kia,Optima,2017,69838.0,Механика,Передний,Хэтчбек,630238,9,7760
Hyundai,Tucson,2014,194214.0,Автомат,Полный,Кроссовер,263422,12,16184
Volkswagen,Golf,2020,75884.0,Механика,Полный,Хэтчбек,898664,6,12647
Volkswagen,Golf,2023,63324.0,Автомат,Передний,Кроссовер,1296797,3,21108
Hyundai,Santa Fe,2020,103683.0,Автомат,Задний,Кроссовер,807986,6,17280
Volkswagen,Tiguan,2009,321003.0,Автомат,Полный,Хэтчбек,273116,17,18883
Toyota,Camry,2011,148604.0,Механика,Полный,Седан,363230,15,9907
Kia,Sportage,2019,151962.0,Автомат,Задний,Кроссовер,511201,7,21709
Volkswagen,Tiguan,2020,77137.0,Механика,Полный,Седан,821432,6,12856
Kia,Rio,2022,88868.0,Механика,Полный,Хэтчбек,1025501,4,22217
Toyota,Corolla,2021,51071.0,Механика,Задний,Кроссовер,2011999,5,10214
Toyota,RAV4,2013,185190.0,Механика,Полный,Хэтчбек,337040,13,14245
Hyundai,ix35,2015,129531.0,Механика,Полный,Хэтчбек,315174,11,11776
Toyota,Land Cruiser,2016,104599.0,Автомат,Полный,Кроссовер,872825,10,10460
Kia,Sportage,2017,152801.0,Механика,Передний,Хэтчбек,351898,9,16978
Kia,Rio,2018,72807.0,Робот,Полный,Седан,855895,8,9101
BMW,X5,2013,186445.0,Автомат,Передний,Кроссовер,345205,13,14342
Hyundai,Santa Fe,2022,41140.0,Автомат,Полный,Кроссовер,1261428,4,10285
Toyota,Camry,2013,213306.0,Автомат,Передний,Хэтчбек,281815,13,16408
Kia,Ceed,2009,405834.0,Автомат,Полный,Хэтчбек,338772,17,23873
Hyundai,ix35,2021,92281.0,Автомат,Полный,Седан,932808,5,18456
Toyota,Land Cruiser,2020,78002.0,Механика,Полный,Кроссовер,1716539,6,13000
Hyundai,ix35,2008,123707.0,Автомат,Полный,Кроссовер,264466,18,6873
Hyundai,ix35,2012,200820.0,Автомат,Полный,Кроссовер,318915,14,14344
Kia,Ceed,2019,116263.0,Автомат,Задний,Седан,632970,7,16609
Hyundai,Solaris,2018,103907.0,Автомат,Задний,Седан,648106,8,12988
Kia,Sportage,2011,225648.5,Автомат,Полный,Хэтчбек,283079,15,15043
Hyundai,ix35,2023,32959.0,Механика,Передний,Седан,1516799,3,10986
BMW,X5,2023,43679.0,Автомат,Полный,Хэтчбек,2340942,3,14560
Toyota,Land Cruiser,2023,48319.0,Автомат,Полный,Кроссовер,2771660,3,16106
Volkswagen,Tiguan,2019,134912.0,Механика,Задний,Кроссовер,664737,7,19273
Volkswagen,Golf,2019,90784.0,Автомат,Передний,Кроссовер,694474,7,12969
Kia,Optima,2009,163813.0,Автомат,Полный,Кроссовер,321581,17,9636
Hyundai,ix35,2008,377443.0,Автомат,Передний,Седан,315636,18,20969
Hyundai,Santa Fe,2018,111883.0,Робот,Полный,Кроссовер,551587,8,13985
Volkswagen,Tiguan,2013,199071.0,Механика,Полный,Кроссовер,271662,13,15313
Toyota,Camry,2018,108155.0,Автомат,Полный,Кроссовер,1128712,8,13519
Volkswagen,Golf,2016,139084.0,Автомат,Полный,Хэтчбек,351009,10,13908
Hyundai,Santa Fe,2011,174634.0,Робот,Полный,Седан,287789,15,11642
Toyota,RAV4,2024,44915.0,Робот,Полный,Хэтчбек,2352685,2,22458
Volkswagen,Tiguan,2012,193613.0,Автомат,Полный,Седан,316188,14,13830
Volkswagen,Golf,2020,70387.0,Автомат,Передний,Седан,1008261,6,11731
BMW,X3,2023,37145.0,Механика,Передний,Кроссовер,2436382,3,12382
Hyundai,Solaris,2024,32131.0,Автомат,Полный,Кроссовер,1647332,2,16066
Kia,Ceed,2011,221841.0,Механика,Передний,Седан,294224,15,14789
BMW,3 Series,2016,176615.0,Автомат,Полный,Кроссовер,703112,10,17662
Toyota,Corolla,2022,67422.0,Механика,Полный,Хэтчбек,2276148,4,16856
Hyundai,Tucson,2008,127169.0,Механика,Полный,Хэтчбек,335501,18,7065
Kia,Optima,2008,232544.0,Автомат,Полный,Седан,279469,18,12919
Volkswagen,Passat,2013,253489.0,Автомат,Полный,Кроссовер,320760,13,19499
Toyota,Camry,2008,255795.0,Автомат,Передний,Кроссовер,316351,18,14211
BMW,3 Series,2023,34947.0,Автомат,Передний,Хэтчбек,2768860,3,11649
BMW,X3,2020,97547.0,Механика,Полный,Кроссовер,1827338,6,16258
BMW,5 Series,2020,153385.0,Механика,Полный,Седан,1372397,6,25564
Kia,Rio,2011,228734.0,Механика,Передний,Хэтчбек,286919,15,15249
Toyota,Land Cruiser,2012,183897.0,Автомат,Полный,Хэтчбек,284270,14,13136
Hyundai,ix35,2019,88041.0,Механика,Передний,Хэтчбек,750651,7,12577
Kia,Sportage,2021,47360.0,Механика,Полный,Хэтчбек,1123967,5,9472
Hyundai,Santa Fe,2018,156089.0,Робот,Передний,Хэтчбек,422644,8,19511
Volkswagen,Golf,2023,22475.0,Механика,Передний,Хэтчбек,1516559,3,7492
Hyundai,Santa Fe,2010,266778.0,Механика,Полный,Хэтчбек,342801,16,16674
Kia,Ceed,2013,240563.0,Автомат,Полный,Хэтчбек,322280,13,18505
Volkswagen,Tiguan,2021,94805.0,Автомат,Передний,Седан,990696,5,18961
Kia,Sportage,2011,149158.0,Механика,Полный,Седан,318974,15,9944
Toyota,Camry,2010,201349.0,Механика,Полный,Кроссовер,291413,16,12584
Toyota,Land Cruiser,2014,213452.0,Автомат,Полный,Седан,438556,12,17788
Toyota,RAV4,2021,26624.0,Автомат,Задний,Хэтчбек,2311627,5,5325
Hyundai,Solaris,2013,211743.0,Автомат,Полный,Кроссовер,270878,13,16288
Toyota,Corolla,2022,52560.0,Робот,Полный,Кроссовер,2365327,4,13140
Volkswagen,Passat,2008,290827.0,Автомат,Передний,Хэтчбек,301396,18,16157
Hyundai,Solaris,2020,89542.0,Автомат,Полный,Хэтчбек,941918,6,14924
Hyundai,Tucson,2021,73788.0,Автомат,Передний,Хэтчбек,955772,5,14758
Hyundai,ix35,2016,167563.0,Автомат,Полный,Хэтчбек,317972,10,16756
Toyota,Camry,2012,221822.0,Автомат,Передний,Седан,285337,14,15844
Volkswagen,Passat,2015,146597.0,Механика,Задний,Седан,307047,11,13327
Kia,Rio,2013,195998.0,Механика,Полный,Седан,295044,13,15077
Hyundai,Tucson,2011,133964.0,Механика,Передний,Седан,337477,15,8931
Hyundai,Tucson,2009,263665.0,Механика,Передний,Кроссовер,335986,17,15510
Toyota,RAV4,2012,214261.0,Механика,Передний,Седан,259554,14,15304
Hyundai,Tucson,2011,182358.0,Автомат,Передний,Хэтчбек,336621,15,12157
Volkswagen,Golf,2020,106406.0,Автомат,Передний,Кроссовер,946830,6,17734
Volkswagen,Polo,2013,260854.0,Механика,Полный,Седан,326097,13,20066
BMW,X5,2021,54557.0,Автомат,Полный,Хэтчбек,2160282,5,10911
BMW,X5,2014,157805.0,Автомат,Передний,Седан,602427,12,13150
Hyundai,Santa Fe,2010,179381.0,Автомат,Передний,Хэтчбек,263228,16,11211
BMW,3 Series,2017,96396.0,Автомат,Передний,Седан,1164572,9,10711
Kia,Ceed,2021,73288.0,Автомат,Передний,Хэтчбек,1171672,5,14658
Toyota,Land Cruiser,2010,268553.0,Робот,Передний,Седан,299319,16,16785
Hyundai,Santa Fe,2016,196837.0,Автомат,Задний,Кроссовер,294950,10,19684
Toyota,Land Cruiser,2021,64880.0,Автомат,Передний,Седан,2040777,5,12976
BMW,X3,2021,115711.0,Автомат,Полный,Седан,1995894,5,23142
Hyundai,ix35,2021,90784.0,Автомат,Передний,Хэтчбек,1052773,5,18157
Kia,Rio,2020,72303.0,Механика,Задний,Хэтчбек,1089696,6,12050
Toyota,Corolla,2008,308953.0,Механика,Передний,Хэтчбек,342848,18,17164
Kia,Ceed,2020,55133.0,Автомат,Полный,Седан,907214,6,9189
Kia,Ceed,2011,201592.0,Автомат,Полный,Хэтчбек,334950,15,13439
Hyundai,Solaris,2009,251522.0,Робот,Передний,Седан,274825,17,14795
Volkswagen,Tiguan,2014,204483.0,Автомат,Полный,Кроссовер,279108,12,17040
Kia,Sportage,2022,72686.0,Механика,Полный,Кроссовер,1130874,4,18172
BMW,X5,2009,189924.0,Автомат,Передний,Кроссовер,325404,17,11172
Volkswagen,Polo,2008,283883.0,Автомат,Передний,Хэтчбек,274220,18,15771
Kia,Sportage,2020,135556.0,Автомат,Полный,Седан,774952,6,22593
Kia,Ceed,2020,69648.0,Автомат,Передний,Хэтчбек,950566,6,11608
BMW,X5,2016,201889.0,Автомат,Передний,Кроссовер,667251,10,20189
Volkswagen,Golf,2023,35492.0,Механика,Передний,Хэтчбек,1654148,3,11831
Kia,Ceed,2009,310100.0,Автомат,Полный,Хэтчбек,307291,17,18241
Kia,Sportage,2013,195641.0,Автомат,Полный,Хэтчбек,298608,13,15049
Kia,Optima,2008,363167.0,Автомат,Полный,Хэтчбек,332070,18,20176
Volkswagen,Golf,2013,179859.0,Автомат,Передний,Седан,274069,13,13835
Volkswagen,Golf,2008,150914.0,Механика,Полный,Кроссовер,276934,18,8384
Toyota,Land Cruiser,2013,195510.0,Автомат,Полный,Хэтчбек,324405,13,15039
Volkswagen,Golf,2011,279782.0,Автомат,Передний,Хэтчбек,290063,15,18652
Kia,Ceed,2022,66166.0,Робот,Полный,Кроссовер,1063817,4,16542
Volkswagen,Passat,2019,132363.0,Автомат,Полный,Седан,551997,7,18909
Hyundai,Solaris,2010,266513.0,Автомат,Полный,Кроссовер,284410,16,16657
Toyota,Camry,2024,24495.0,Автомат,Передний,Седан,2903638,2,12248
Volkswagen,Passat,2023,42616.0,Автомат,Передний,Кроссовер,1633551,3,14205
BMW,X3,2017,251741.0,Автомат,Полный,Хэтчбек,626816,9,27971
Toyota,Land Cruiser,2013,281360.0,Механика,Передний,Кроссовер,305922,13,21643
BMW,3 Series,2017,160157.0,Автомат,Задний,Кроссовер,1070185,9,17795
Volkswagen,Tiguan,2012,212565.0,Автомат,Задний,Седан,343255,14,15183
Volkswagen,Golf,2008,233910.0,Автомат,Задний,Седан,330886,18,12995
Volkswagen,Golf,2015,173883.0,Автомат,Передний,Хэтчбек,301392,11,15808
BMW,5 Series,2011,106559.0,Автомат,Передний,Седан,462234,15,7104
Kia,Optima,2024,24646.0,Автомат,Полный,Хэтчбек,1505339,2,12323
Toyota,RAV4,2021,58857.0,Механика,Полный,Хэтчбек,1781963,5,11771
Toyota,Corolla,2024,32219.0,Автомат,Передний,Кроссовер,2606587,2,16110
BMW,X3,2015,126396.0,Механика,Задний,Седан,781707,11,11491
Hyundai,Santa Fe,2018,127743.0,Автомат,Задний,Кроссовер,474147,8,15968
BMW,X5,2011,297064.0,Автомат,Передний,Седан,279838,15,19804
Volkswagen,Tiguan,2011,204831.0,Автомат,Передний,Седан,316046,15,13655
Kia,Sportage,2012,168999.0,Автомат,Полный,Кроссовер,292123,14,12071
BMW,X5,2016,146835.0,Механика,Передний,Седан,1301816,10,14684
Kia,Rio,2019,66389.0,Автомат,Задний,Седан,979644,7,9484
Volkswagen,Passat,2011,295744.0,Робот,Полный,Седан,317908,15,19716
Hyundai,Solaris,2018,107501.0,Механика,Передний,Кроссовер,573176,8,13438
Hyundai,Tucson,2018,133292.0,Автомат,Передний,Хэтчбек,473569,8,16662
Hyundai,Santa Fe,2011,186099.0,Механика,Полный,Седан,317916,15,12407
BMW,5 Series,2023,42898.0,Автомат,Полный,Кроссовер,2647693,3,14299
Toyota,Corolla,2024,32447.0,Автомат,Полный,Кроссовер,2836301,2,16224
Kia,Ceed,2020,121103.0,Механика,Полный,Седан,707052,6,20184
Toyota,Camry,2009,313640.0,Автомат,Передний,Седан,256978,17,18449
BMW,X5,2010,215375.0,Автомат,Задний,Седан,265966,16,13461
Volkswagen,Passat,2013,202620.0,Автомат,Передний,Седан,311344,13,15586
Kia,Rio,2018,163496.0,Автомат,Передний,Седан,486236,8,20437
BMW,X3,2012,136973.0,Робот,Полный,Седан,484441,14,9784
BMW,5 Series,2011,202580.0,Автомат,Полный,Хэтчбек,333348,15,13505
BMW,X3,2012,333385.0,Робот,Задний,Хэтчбек,260744,14,23813
Volkswagen,Polo,2020,105171.0,Механика,Передний,Кроссовер,748069,6,17528
Volkswagen,Tiguan,2022,54687.0,Автомат,Полный,Кроссовер,1229006,4,13672
Hyundai,ix35,2022,70993.0,Автомат,Полный,Кроссовер,1347282,4,17748
BMW,5 Series,2012,208183.0,Робот,Передний,Кроссовер,330138,14,14870
Volkswagen,Passat,2024,42640.0,Автомат,Передний,Хэтчбек,1795013,2,21320
Toyota,Corolla,2024,41150.0,Механика,Полный,Хэтчбек,3087844,2,20575
Volkswagen,Polo,2023,55639.0,Автомат,Передний,Хэтчбек,1597086,3,18546
Volkswagen,Polo,2024,15719.0,Механика,Полный,Кроссовер,1958942,2,7860
Hyundai,Tucson,2011,275543.0,Механика,Задний,Кроссовер,335629,15,18370
Volkswagen,Tiguan,2024,24706.0,Автомат,Задний,Седан,1836653,2,12353
Kia,Ceed,2013,135689.0,Робот,Передний,Хэтчбек,262698,13,10438
Hyundai,ix35,2016,141874.0,Автомат,Полный,Седан,305416,10,14187
Hyundai,Solaris,2013,174013.0,Автомат,Полный,Кроссовер,293868,13,13386
Toyota,Camry,2015,191052.0,Автомат,Полный,Седан,577476,11,17368
Toyota,RAV4,2017,157428.0,Робот,Передний,Хэтчбек,826620,9,17492
Volkswagen,Passat,2008,215589.0,Робот,Задний,Кроссовер,262933,18,11977
Volkswagen,Polo,2011,166479.0,Автомат,Передний,Кроссовер,256343,15,11099
BMW,3 Series,2021,73119.0,Механика,Передний,Хэтчбек,2048315,5,14624
BMW,5 Series,2016,148446.0,Автомат,Передний,Седан,865949,10,14845
BMW,5 Series,2008,195217.0,Автомат,Полный,Хэтчбек,325932,18,10845
Hyundai,Solaris,2017,177155.0,Механика,Полный,Седан,325728,9,19684
Hyundai,Tucson,2019,144526.0,Автомат,Полный,Кроссовер,641596,7,20647
Hyundai,Santa Fe,2010,188330.0,Автомат,Полный,Кроссовер,259811,16,11771
Toyota,RAV4,2020,167184.0,Автомат,Передний,Седан,1552060,6,27864
Toyota,Camry,2024,23003.0,Автомат,Передний,Седан,2783348,2,11502
Hyundai,ix35,2008,225276.0,Автомат,Полный,Хэтчбек,333589,18,12515
Volkswagen,Tiguan,2023,22009.0,Робот,Полный,Седан,1396560,3,7336
BMW,X3,2022,60637.0,Автомат,Передний,Кроссовер,2389947,4,15159
Kia,Rio,2010,290141.0,Автомат,Полный,Хэтчбек,262101,16,18134
Volkswagen,Polo,2014,181325.0,Механика,Полный,Седан,280386,12,15110
Hyundai,ix35,2020,119696.0,Автомат,Передний,Кроссовер,692801,6,19949
Kia,Ceed,2018,118196.0,Автомат,Полный,Седан,505641,8,14774
Kia,Ceed,2018,104411.0,Автомат,Передний,Седан,728548,8,13051
BMW,X5,2009,274855.0,Автомат,Полный,Хэтчбек,293951,17,16168
Kia,Optima,2008,188682.0,Автомат,Передний,Кроссовер,335168,18,10482
Kia,Rio,2010,145307.0,Робот,Полный,Седан,327386,16,9082
Kia,Rio,2009,178705.0,Автомат,Передний,Седан,308077,17,10512
Hyundai,Santa Fe,2011,152990.0,Робот,Передний,Кроссовер,316680,15,10199
BMW,X5,2019,117327.0,Автомат,Передний,Кроссовер,1405717,7,16761
Toyota,Camry,2019,87419.0,Механика,Передний,Хэтчбек,1320787,7,12488
Hyundai,Tucson,2014,124791.0,Автомат,Передний,Седан,264422,12,10399
Toyota,Corolla,2015,141758.0,Автомат,Передний,Хэтчбек,801101,11,12887
Kia,Ceed,2014,172915.0,Механика,Передний,Седан,299598,12,14410
Toyota,RAV4,2018,116047.0,Механика,Полный,Кроссовер,1232066,8,14506
Toyota,RAV4,2022,68561.0,Автомат,Полный,Седан,2464593,4,17140
Volkswagen,Polo,2011,215696.0,Механика,Передний,Седан,276094,15,14380
Kia,Optima,2016,197538.0,Автомат,Полный,Кроссовер,262986,10,19754
Hyundai,Santa Fe,2021,89735.0,Робот,Полный,Седан,1084548,5,17947
Kia,Optima,2021,85408.0,Автомат,Полный,Кроссовер,1018977,5,17082
Hyundai,Tucson,2012,262414.0,Автомат,Передний,Кроссовер,314714,14,18744
Volkswagen,Passat,2008,348835.0,Механика,Передний,Хэтчбек,308842,18,19380
Toyota,Camry,2009,247021.0,Автомат,Передний,Седан,280994,17,14531
Kia,Optima,2016,160440.0,Автомат,Передний,Седан,280611,10,16044
Toyota,Corolla,2022,38322.0,Робот,Полный,Хэтчбек,2358478,4,9580
Toyota,Corolla,2019,98905.0,Автомат,Полный,Хэтчбек,1364115,7,14129
Kia,Rio,2009,212030.0,Механика,Передний,Седан,340639,17,12472
BMW,5 Series,2015,151340.0,Автомат,Полный,Хэтчбек,687738,11,13758
Kia,Ceed,2019,67149.0,Автомат,Полный,Кроссовер,753202,7,9593
Kia,Rio,2013,156509.0,Механика,Передний,Седан,270344,13,12039
Kia,Ceed,2013,256315.0,Автомат,Передний,Кроссовер,255296,13,19717
Kia,Optima,2008,359903.0,Автомат,Передний,Кроссовер,310481,18,19995
Hyundai,Santa Fe,2023,57474.0,Механика,Задний,Хэтчбек,1217807,3,19158
Volkswagen,Polo,2021,65030.0,Автомат,Задний,Хэтчбек,1160116,5,13006
Kia,Sportage,2014,191468.0,Автомат,Передний,Хэтчбек,329630,12,15956
Volkswagen,Tiguan,2018,121906.0,Автомат,Передний,Кроссовер,555743,8,15238
Volkswagen,Golf,2014,95643.0,Автомат,Передний,Хэтчбек,332518,12,7970
Kia,Rio,2018,129953.0,Автомат,Полный,Хэтчбек,544210,8,16244
Hyundai,ix35,2016,68626.0,Автомат,Полный,Кроссовер,624531,10,6863
Hyundai,ix35,2020,61292.0,Автомат,Полный,Кроссовер,1093287,6,10215
BMW,5 Series,2017,147845.0,Автомат,Передний,Кроссовер,1122486,9,16427
Hyundai,Santa Fe,2019,107925.0,Автомат,Передний,Кроссовер,766794,7,15418
Volkswagen,Polo,2022,43991.0,Автомат,Передний,Седан,1405670,4,10998
Kia,Ceed,2021,50930.0,Робот,Полный,Седан,1058847,5,10186
Kia,Ceed,2018,153793.0,Автомат,Полный,Хэтчбек,419808,8,19224
Toyota,Camry,2024,30172.0,Механика,Полный,Хэтчбек,2930412,2,15086
BMW,3 Series,2019,84908.0,Механика,Полный,Хэтчбек,1418498,7,12130
Toyota,Corolla,2012,209749.0,Автомат,Задний,Кроссовер,322230,14,14982
Hyundai,Solaris,2016,69500.0,Механика,Полный,Кроссовер,582765,10,6950
Volkswagen,Golf,2020,108635.0,Автомат,Полный,Хэтчбек,733740,6,18106
Kia,Sportage,2013,194619.0,Автомат,Задний,Кроссовер,316237,13,14971
BMW,5 Series,2018,164907.0,Робот,Передний,Кроссовер,983662,8,20613
Toyota,Camry,2021,84307.0,Автомат,Передний,Хэтчбек,1770540,5,16861
Toyota,Corolla,2014,182075.0,Механика,Задний,Седан,487494,12,15173
Volkswagen,Golf,2011,218377.0,Автомат,Передний,Хэтчбек,287132,15,14558
Volkswagen,Tiguan,2022,60778.0,Автомат,Передний,Хэтчбек,1159864,4,15194
Hyundai,ix35,2018,178926.0,Автомат,Передний,Хэтчбек,421567,8,22366
Volkswagen,Polo,2017,186154.0,Механика,Передний,Хэтчбек,313852,9,20684
Kia,Ceed,2014,168973.0,Автомат,Передний,Седан,318960,12,14081
Kia,Rio,2018,98733.0,Механика,Передний,Седан,698994,8,12342
Hyundai,Tucson,2022,51459.0,Автомат,Задний,Хэтчбек,1144966,4,12865
Toyota,Land Cruiser,2012,261842.0,Механика,Полный,Хэтчбек,279348,14,18703
Volkswagen,Tiguan,2010,221594.0,Автомат,Передний,Хэтчбек,341673,16,13850
Kia,Ceed,2023,42518.0,Механика,Полный,Седан,1465875,3,14173
Toyota,Camry,2016,122002.0,Механика,Передний,Кроссовер,918640,10,12200
Kia,Optima,2011,211097.0,Автомат,Передний,Седан,260057,15,14073
Kia,Ceed,2015,206352.0,Автомат,Полный,Кроссовер,279223,11,18759
Hyundai,Solaris,2018,127104.0,Механика,Передний,Седан,585049,8,15888
Kia,Optima,2013,266290.0,Автомат,Передний,Хэтчбек,324258,13,20484
Kia,Optima,2014,64706.0,Робот,Полный,Кроссовер,472256,12,5392
Toyota,Camry,2024,33464.0,Автомат,Полный,Кроссовер,2940879,2,16732
BMW,3 Series,2017,146276.0,Автомат,Полный,Кроссовер,877130,9,16253
BMW,X3,2010,308859.0,Механика,Полный,Седан,276915,16,19304
BMW,X3,2019,109081.0,Автомат,Полный,Седан,1576579,7,15583
BMW,5 Series,2016,75980.0,Механика,Полный,Кроссовер,961932,10,7598
Hyundai,ix35,2024,22910.0,Механика,Передний,Хэтчбек,1691401,2,11455
BMW,5 Series,2009,219602.0,Механика,Передний,Хэтчбек,324495,17,12918
Toyota,Corolla,2016,137721.0,Автомат,Передний,Кроссовер,835385,10,13772
Kia,Sportage,2024,34476.0,Механика,Полный,Седан,1638582,2,17238
Hyundai,Santa Fe,2017,124060.0,Механика,Передний,Седан,484373,9,13784
Hyundai,Solaris,2016,141293.0,Механика,Полный,Хэтчбек,343611,10,14129
BMW,X3,2008,329817.0,Автомат,Передний,Седан,282058,18,18323
Hyundai,ix35,2018,152003.0,Робот,Передний,Седан,536632,8,19000
Hyundai,Santa Fe,2010,195416.0,Автомат,Полный,Седан,340494,16,12214
Volkswagen,Golf,2023,67774.0,Автомат,Передний,Хэтчбек,1331384,3,22591
Kia,Sportage,2012,175378.0,Механика,Передний,Седан,300649,14,12527
Volkswagen,Passat,2013,161124.0,Автомат,Полный,Седан,256414,13,12394
Volkswagen,Passat,2017,202632.0,Механика,Полный,Седан,258811,9,22515
Toyota,Corolla,2008,269713.0,Робот,Полный,Седан,325391,18,14984
Kia,Optima,2016,112242.0,Механика,Полный,Кроссовер,476991,10,11224
Toyota,Corolla,2012,228113.0,Автомат,Полный,Седан,306023,14,16294
Volkswagen,Golf,2022,59976.0,Автомат,Задний,Седан,1393829,4,14994
BMW,3 Series,2022,70527.0,Автомат,Передний,Кроссовер,2030742,4,17632
Hyundai,Tucson,2012,187355.0,Автомат,Передний,Кроссовер,343545,14,13382
Volkswagen,Golf,2015,157275.0,Автомат,Передний,Хэтчбек,313679,11,14298
Kia,Sportage,2022,39389.0,Автомат,Задний,Хэтчбек,1224315,4,9847
Toyota,Land Cruiser,2018,142445.0,Автомат,Полный,Седан,1078724,8,17806
Toyota,Camry,2022,69219.0,Автомат,Передний,Кроссовер,2129567,4,17305
Kia,Ceed,2022,21635.0,Автомат,Задний,Седан,1333572,4,5409
Toyota,RAV4,2015,122405.0,Робот,Полный,Хэтчбек,906414,11,11128
Volkswagen,Tiguan,2010,203804.0,Автомат,Передний,Кроссовер,329252,16,12738
Volkswagen,Passat,2014,257515.0,Механика,Передний,Хэтчбек,332078,12,21460
Kia,Sportage,2008,267079.0,Робот,Задний,Хэтчбек,290221,18,14838
BMW,X5,2014,160604.0,Механика,Полный,Хэтчбек,514225,12,13384
Toyota,Camry,2009,301807.0,Автомат,Передний,Хэтчбек,280409,17,17753
Kia,Ceed,2013,223541.0,Механика,Полный,Кроссовер,261303,13,17195
Toyota,Camry,2019,93965.0,Автомат,Передний,Кроссовер,1625043,7,13424
Toyota,RAV4,2018,129502.0,Робот,Передний,Седан,1078006,8,16188
Kia,Optima,2014,223500.0,Автомат,Передний,Седан,255309,12,18625
Hyundai,ix35,2011,247316.0,Автомат,Полный,Кроссовер,289307,15,16488
Kia,Sportage,2013,246672.0,Автомат,Задний,Седан,334072,13,18975
Toyota,Camry,2021,64557.0,Автомат,Передний,Хэтчбек,1762259,5,12911
Kia,Optima,2023,19441.0,Механика,Передний,Кроссовер,1691190,3,6480
Volkswagen,Polo,2024,34828.0,Механика,Полный,Кроссовер,1517990,2,17414
BMW,3 Series,2018,142625.0,Автомат,Задний,Хэтчбек,1204371,8,17828
